Version,Event name,Date + hour (YYYYMMDDHH),Event count,Total users,Event count per active user,Average engagement time per session,Average session duration,Event value,Scrolled users,Bounce rate,Views,Engagement rate
a,page_view,2025041914,27,7,3.857142857,0,326.5257387,0,0,0.571428571,27,0.428571429
a,page_view,2025041915,24,9,2.666666667,0,64.399154,0,0,0.666666667,24,0.333333333
a,user_engagement,2025041915,21,3,7,94.25,337.3286093,0,0,0,0,1
a,submit_feedback,2025041912,38,4,9.5,18.25,296.1645893,140,0,0.25,0,0.75
a,page_view,2025041907,26,4,6.5,0,380.392901,0,0,0,26,1
a,user_engagement,2025041914,16,3,5.333333333,45.33333333,1054.705744,0,0,0,0,1
a,user_engagement,2025041907,21,3,7,26,557.7552307,0,0,0,0,1
a,session_start,2025041915,9,9,1,0,0,0,0,0.666666667,0,0.333333333
a,first_visit,2025041915,9,9,1,0,0,0,0,0.666666667,0,0.333333333
a,page_view,2025041908,12,7,1.714285714,0,4.440415,0,0,0.428571429,12,0.571428571
a,first_visit,2025041914,7,7,1,0,0,0,0,0.571428571,0,0.428571429
a,session_start,2025041914,7,7,1,0,0,0,0,0.571428571,0,0.428571429
a,page_view,2025042003,3,3,1,0,0,0,0,0.666666667,3,0.333333333
a,user_engagement,2025042003,1,1,1,3,508.303977,0,0,0,0,1
a,first_visit,2025041908,6,6,1,0,0,0,0,0.5,0,0.5
a,scroll,2025041914,7,2,3.5,14.5,29.0346725,0,2,0,0,1
a,session_start,2025041908,6,6,1,0,0,0,0,0.5,0,0.5
a,page_view,2025041909,6,3,2,0,8.553293,0,0,0.333333333,6,0.666666667
a,page_view,2025041912,9,4,2.25,0,211.138685,0,0,0.25,9,0.75
a,scroll,2025041915,1,1,1,0,0.181964,0,1,1,0,0
a,session_start,2025042003,3,3,1,0,0,0,0,0.666666667,0,0.333333333
a,first_visit,2025042003,2,2,1,0,0,0,0,1,0,0
a,page_view,2025042121,6,4,1.5,0,5.17557,0,0,0.25,6,0.75
a,first_visit,2025041907,3,3,1,0,0,0,0,0,0,1
a,page_view,2025041911,0,0,0,0,0,0,0,0,0,0
a,page_view,2025042002,5,5,1,0,0,0,0,0.6,5,0.4
a,scroll,2025042003,0,0,0,0,0,0,0,0,0,0
a,session_start,2025041907,3,3,1,0,0,0,0,0,0,1
a,session_start,2025042002,5,5,1,0,0,0,0,0.6,0,0.4
a,first_visit,2025042002,4,4,1,0,0,0,0,0.75,0,0.25
a,page_view,2025041910,5,4,1.25,0,77.260603,0,0,0.25,5,0.75
a,page_view,2025041919,4,2,2,0,3.593321,0,0,0,4,1
a,page_view,2025041922,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041907,6,2,3,8,46.503342,0,2,0,0,1
a,session_start,2025042000,4,4,1.333333333,0,0,0,0,0.5,0,0.5
a,session_start,2025042121,4,4,1,0,0,0,0,0.25,0,0.75
a,first_visit,2025041911,0,0,0,0,0,0,0,0,0,0
a,first_visit,2025042000,3,3,1,0,0,0,0,0.333333333,0,0.666666667
a,page_view,2025041918,4,3,1.333333333,0,1.423823,0,0,0.666666667,4,0.333333333
a,page_view,2025042000,3,3,1,0,0,0,0,0.333333333,3,0.666666667
a,session_start,2025041911,0,0,0,0,0,0,0,0,0,0
a,session_start,2025041918,4,4,1,0,0,0,0,0.75,0,0.25
a,session_start,2025041922,0,0,0,0,0,0,0,0,0,0
a,user_engagement,2025042121,3,3,1,35.33333333,635.0610907,0,0,0,0,1
a,first_visit,2025041909,3,3,1,0,0,0,0,0.333333333,0,0.666666667
a,first_visit,2025041910,4,4,1,0,0,0,0,0.25,0,0.75
a,first_visit,2025041916,3,3,1,0,0,0,0,1,0,0
a,first_visit,2025041918,3,3,1,0,0,0,0,0.666666667,0,0.333333333
a,first_visit,2025041922,0,0,0,0,0,0,0,0,0,0
a,first_visit,2025042121,3,3,1,0,0,0,0,0.333333333,0,0.666666667
a,page_view,2025041916,3,3,1,0,0,0,0,1,3,0
a,page_view,2025042004,2,1,2,0,12.730598,0,0,0,2,1
a,session_start,2025041909,3,3,1,0,0,0,0,0.333333333,0,0.666666667
a,session_start,2025041910,4,4,1,0,0,0,0,0.25,0,0.75
a,session_start,2025041912,4,4,1,0,0,0,0,0.25,0,0.75
a,session_start,2025041916,3,3,1,0,0,0,0,1,0,0
a,session_start,2025041919,2,2,1,0,0,0,0,0,0,1
a,submit_feedback,2025041913,2,1,2,11,311.476233,6,0,0,0,1
a,user_engagement,2025041919,4,1,4,80,1310.708735,0,0,0,0,1
a,first_visit,2025041912,3,3,1,0,0,0,0,0.333333333,0,0.666666667
a,first_visit,2025041919,1,1,1,0,0,0,0,0,0,1
a,page_view,2025042200,2,1,2,0,1.939642,0,0,0,2,1
a,session_start,2025041921,3,3,1,0,0,0,0,1,0,0
a,session_start,2025042200,2,2,2,0,0,0,0,0.5,0,0.5
a,user_engagement,2025041908,2,2,1,4,55.300362,0,0,0,0,1
a,user_engagement,2025041909,2,2,1,2,8.1738185,0,0,0,0,1
a,user_engagement,2025041912,3,2,1.5,36,199.966406,0,0,0,0,1
a,user_engagement,2025041918,3,2,1.5,25,98.975531,0,0,0.5,0,0.5
a,user_engagement,2025042000,3,3,1.5,39.33333333,43.912944,0,0,0.333333333,0,0.666666667
a,user_engagement,2025042002,2,2,1,4,64.551545,0,0,0,0,1
a,user_engagement,2025042200,2,2,2,2,4.535018,0,0,0.5,0,0.5
a,first_visit,2025041921,2,2,1,0,0,0,0,1,0,0
a,first_visit,2025042200,1,1,1,0,0,0,0,0,0,1
a,page_view,2025041917,2,2,1,0,0,0,0,1,2,0
a,page_view,2025041921,2,2,1,0,0,0,0,1,2,0
a,page_view,2025042223,2,1,2,0,294.02408,0,0,0,2,1
a,scroll,2025041908,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041909,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041912,2,1,2,8,42.889888,0,1,0,0,1
a,scroll,2025041922,0,0,0,0,0,0,0,0,0,0
a,scroll,2025042004,0,0,0,0,0,0,0,0,0,0
a,session_start,2025041917,2,2,1,0,0,0,0,1,0,0
a,session_start,2025042004,1,1,1,0,0,0,0,0,0,1
a,session_start,2025042014,0,0,0,0,0,0,0,0,0,0
a,user_engagement,2025041910,1,1,1,6,203.125743,0,0,0,0,1
a,user_engagement,2025041911,0,0,0,0,0,0,0,0,0,0
a,user_engagement,2025041922,0,0,0,0,0,0,0,0,0,0
a,user_engagement,2025042004,1,1,1,6,6.126992,0,0,0,0,1
a,user_engagement,2025042205,2,1,2,1,0.000559,0,0,0,0,1
a,click,2025042002,0,0,0,0,0,0,0,0,0,0
a,first_visit,2025041913,0,0,0,0,0,0,0,0,0,0
a,first_visit,2025041917,1,1,1,0,0,0,0,1,0,0
a,first_visit,2025041920,1,1,1,0,0,0,0,0,0,1
a,first_visit,2025042018,1,1,1,0,0,0,0,0,0,1
a,first_visit,2025042119,0,0,0,0,0,0,0,0,0,0
a,first_visit,2025042221,0,0,0,0,0,0,0,0,0,0
a,first_visit,2025042223,1,1,1,0,0,0,0,0,0,1
a,page_view,2025041913,0,0,0,0,0,0,0,0,0,0
a,page_view,2025041920,1,1,1,0,0,0,0,0,1,1
a,page_view,2025042014,0,0,0,0,0,0,0,0,0,0
a,page_view,2025042015,0,0,0,0,0,0,0,0,0,0
a,page_view,2025042016,1,1,1,0,0,0,0,0,1,1
a,page_view,2025042018,1,1,1,0,0,0,0,0,1,1
a,page_view,2025042019,1,1,1,0,0,0,0,0,1,1
a,page_view,2025042023,0,0,0,0,0,0,0,0,0,0
a,page_view,2025042110,0,0,0,0,0,0,0,0,0,0
a,page_view,2025042119,0,0,0,0,0,0,0,0,0,0
a,page_view,2025042201,1,1,0,0,0,0,0,1,1,0
a,page_view,2025042205,1,1,1,0,13.112165,0,0,0,1,1
a,page_view,2025042221,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041910,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041911,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041913,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041916,0,0,0,0,0,0,0,0,0,0
a,scroll,2025041919,1,1,1,7,23.016354,0,1,0,0,1
a,scroll,2025042002,0,0,0,0,0,0,0,0,0,0
a,scroll,2025042019,1,1,1,39,71.582078,0,1,0,0,1
a,scroll,2025042121,0,0,0,0,0,0,0,0,0,0
a,scroll,2025042200,0,0,0,0,0,0,0,0,0,0
a,scroll,2025042205,1,1,1,50,605.908033,0,1,0,0,1
a,session_start,2025041913,0,0,0,0,0,0,0,0,0,0
a,session_start,2025041920,1,1,1,0,0,0,0,0,0,1
a,session_start,2025042015,0,0,0,0,0,0,0,0,0,0
a,session_start,2025042016,1,1,1,0,0,0,0,0,0,1
a,session_start,2025042018,1,1,1,0,0,0,0,0,0,1
a,session_start,2025042019,1,1,1,0,0,0,0,0,0,1
a,session_start,2025042023,0,0,0,0,0,0,0,0,0,0
a,session_start,2025042110,0,0,0,0,0,0,0,0,0,0
a,session_start,2025042119,0,0,0,0,0,0,0,0,0,0
a,session_start,2025042201,1,1,0,0,0,0,0,1,0,0
a,session_start,2025042205,1,1,1,0,0,0,0,0,0,1
a,session_start,2025042221,0,0,0,0,0,0,0,0,0,0
a,session_start,2025042223,1,1,1,0,0,0,0,0,0,1
a,submit_feedback,2025041914,0,0,0,0,0,0,0,0,0,0
a,user_engagement,2025041913,1,1,1,17,296.010219,0,0,0,0,1
a,user_engagement,2025041917,1,1,1,4,4.054639,0,0,1,0,0
a,user_engagement,2025041920,1,1,1,231,242.545214,0,0,0,0,1
a,user_engagement,2025041921,1,1,1,0,0,0,0,1,0,0
a,user_engagement,2025042014,0,0,0,0,0,0,0,0,0,0
a,user_engagement,2025042016,1,1,1,1,11.576863,0,0,0,0,1
a,user_engagement,2025042018,1,1,1,12,43.510891,0,0,0,0,1
a,user_engagement,2025042019,1,1,1,7,2.633862,0,0,0,0,1
a,user_engagement,2025042023,0,0,0,0,0,0,0,0,0,0
a,user_engagement,2025042221,0,0,0,0,0,0,0,0,0,0
b,page_view,2025041914,23,11,2.090909091,0,31.24977409,0,0,0.454545455,23,0.545454545
b,page_view,2025041915,24,12,2,0,34.58851838,0,0,0.230769231,24,0.769230769
b,user_engagement,2025041915,25,11,2.272727273,61.33333333,166.1367628,0,0,0.166666667,0,0.833333333
b,submit_feedback,2025041912,0,0,0,0,0,0,0,0,0,0
b,page_view,2025041907,9,6,1.5,0,12.00962017,0,0,0.5,9,0.5
b,user_engagement,2025041914,12,6,2,13.66666667,188.797827,0,0,0.166666667,0,0.833333333
b,user_engagement,2025041907,6,3,2,4.333333333,5.370494333,0,0,0,0,1
b,session_start,2025041915,12,12,1,0,0,0,0,0.25,0,0.75
b,first_visit,2025041915,11,11,1,0,0,0,0,0.272727273,0,0.727272727
b,page_view,2025041908,8,7,1.142857143,0,2.563671143,0,0,0.285714286,8,0.714285714
b,first_visit,2025041914,11,11,1,0,0,0,0,0.454545455,0,0.545454545
b,session_start,2025041914,11,11,1,0,0,0,0,0.454545455,0,0.545454545
b,page_view,2025042003,13,7,1.857142857,0,11.88143943,0,0,0.142857143,13,0.857142857
b,user_engagement,2025042003,12,6,2,130.6666667,543.9256073,0,0,0.166666667,0,0.833333333
b,first_visit,2025041908,4,4,1,0,0,0,0,0.5,0,0.5
b,scroll,2025041914,3,2,1.5,2.5,9.6458025,0,2,0,0,1
b,session_start,2025041908,4,4,1,0,0,0,0,0.5,0,0.5
b,page_view,2025041909,3,3,1,0,4.656869,0,0,0,3,1
b,page_view,2025041912,0,0,0,0,0,0,0,0,0,0
b,scroll,2025041915,8,5,1.6,7,14.8654702,0,5,0,0,1
b,session_start,2025042003,6,6,1,0,0,0,0,0,0,1
b,first_visit,2025042003,6,6,1,0,0,0,0,0,0,1
b,page_view,2025042121,2,2,1,0,0,0,0,0,2,1
b,first_visit,2025041907,4,4,1,0,0,0,0,0.75,0,0.25
b,page_view,2025041911,7,6,1.166666667,0,121.5676448,0,0,0.666666667,7,0.333333333
b,page_view,2025042002,2,2,1,0,0,0,0,0,2,1
b,scroll,2025042003,7,6,1.166666667,44.66666667,29.10548367,0,6,0.166666667,0,0.833333333
b,session_start,2025041907,4,4,1,0,0,0,0,0.75,0,0.25
b,session_start,2025042002,2,2,1,0,0,0,0,0,0,1
b,first_visit,2025042002,2,2,1,0,0,0,0,0,0,1
b,page_view,2025041910,1,1,1,0,5.208296,0,0,0,1,1
b,page_view,2025041919,2,2,1,0,0,0,0,1,2,0
b,page_view,2025041922,6,5,1.2,0,1.0110572,0,0,0.8,6,0.2
b,scroll,2025041907,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042000,2,2,1,0,0,0,0,1,0,0
b,session_start,2025042121,2,2,1,0,0,0,0,0,0,1
b,first_visit,2025041911,5,5,1,0,0,0,0,0.8,0,0.2
b,first_visit,2025042000,2,2,1,0,0,0,0,1,0,0
b,page_view,2025041918,1,1,1,0,0,0,0,1,1,0
b,page_view,2025042000,2,2,1,0,0,0,0,1,2,0
b,session_start,2025041911,5,5,1,0,0,0,0,0.8,0,0.2
b,session_start,2025041918,1,1,1,0,0,0,0,1,0,0
b,session_start,2025041922,5,5,1,0,0,0,0,0.8,0,0.2
b,user_engagement,2025042121,2,2,1,30,371.717303,0,0,0,0,1
b,first_visit,2025041909,1,1,1,0,0,0,0,0,0,1
b,first_visit,2025041910,0,0,0,0,0,0,0,0,0,0
b,first_visit,2025041916,1,1,1,0,0,0,0,0,0,1
b,first_visit,2025041918,1,1,1,0,0,0,0,1,0,0
b,first_visit,2025041922,4,4,1,0,0,0,0,0.75,0,0.25
b,first_visit,2025042121,1,1,1,0,0,0,0,0,0,1
b,page_view,2025041916,1,1,1,0,0,0,0,0,1,1
b,page_view,2025042004,2,1,2,0,6.426387,0,0,0,2,1
b,session_start,2025041909,1,1,1,0,0,0,0,0,0,1
b,session_start,2025041910,0,0,0,0,0,0,0,0,0,0
b,session_start,2025041912,0,0,0,0,0,0,0,0,0,0
b,session_start,2025041916,1,1,1,0,0,0,0,0,0,1
b,session_start,2025041919,2,2,1,0,0,0,0,1,0,0
b,submit_feedback,2025041913,2,1,2,5,15.675959,6,0,0,0,1
b,user_engagement,2025041919,0,0,0,0,0,0,0,0,0,0
b,first_visit,2025041912,0,0,0,0,0,0,0,0,0,0
b,first_visit,2025041919,2,2,1,0,0,0,0,1,0,0
b,page_view,2025042200,1,1,1,0,0,0,0,0,1,1
b,session_start,2025041921,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042200,1,1,1,0,0,0,0,0,0,1
b,user_engagement,2025041908,1,1,1,1,0,0,0,0,0,1
b,user_engagement,2025041909,1,1,1,5,26.928523,0,0,0,0,1
b,user_engagement,2025041912,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025041918,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025042000,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025042002,1,1,1,24,21.679001,0,0,0,0,1
b,user_engagement,2025042200,1,1,1,24,25.625858,0,0,0,0,1
b,first_visit,2025041921,0,0,0,0,0,0,0,0,0,0
b,first_visit,2025042200,1,1,1,0,0,0,0,0,0,1
b,page_view,2025041917,0,0,0,0,0,0,0,0,0,0
b,page_view,2025041921,0,0,0,0,0,0,0,0,0,0
b,page_view,2025042223,0,0,0,0,0,0,0,0,0,0
b,scroll,2025041908,2,2,1,3,201.944882,0,2,0,0,1
b,scroll,2025041909,2,2,1,9,12.5447855,0,2,0,0,1
b,scroll,2025041912,0,0,0,0,0,0,0,0,0,0
b,scroll,2025041922,2,1,2,51,86.661642,0,1,0,0,1
b,scroll,2025042004,2,1,2,13,37.483726,0,1,0,0,1
b,session_start,2025041917,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042004,1,1,1,0,0,0,0,0,0,1
b,session_start,2025042014,2,2,1,0,0,0,0,1,0,0
b,user_engagement,2025041910,1,1,1,5,652.99497,0,0,0,0,1
b,user_engagement,2025041911,2,2,1,4,105.8553865,0,0,0,0,1
b,user_engagement,2025041922,2,1,2,192,230.711299,0,0,0,0,1
b,user_engagement,2025042004,1,1,1,16,11.837614,0,0,0,0,1
b,user_engagement,2025042205,0,0,0,0,0,0,0,0,0,0
b,click,2025042002,1,1,1,40,127.552674,0,0,0,0,1
b,first_visit,2025041913,1,1,1,0,0,0,0,0,0,1
b,first_visit,2025041917,0,0,0,0,0,0,0,0,0,0
b,first_visit,2025041920,0,0,0,0,0,0,0,0,0,0
b,first_visit,2025042018,0,0,0,0,0,0,0,0,0,0
b,first_visit,2025042119,1,1,1,0,0,0,0,1,0,0
b,first_visit,2025042221,1,1,1,0,0,0,0,0,0,1
b,first_visit,2025042223,0,0,0,0,0,0,0,0,0,0
b,page_view,2025041913,1,1,1,0,0,0,0,0,1,1
b,page_view,2025041920,0,0,0,0,0,0,0,0,0,0
b,page_view,2025042014,1,1,1,0,0,0,0,1,1,0
b,page_view,2025042015,1,1,1,0,0,0,0,1,1,0
b,page_view,2025042016,0,0,0,0,0,0,0,0,0,0
b,page_view,2025042018,0,0,0,0,0,0,0,0,0,0
b,page_view,2025042019,0,0,0,0,0,0,0,0,0,0
b,page_view,2025042023,1,1,1,0,0,0,0,0,1,1
b,page_view,2025042110,1,1,0,0,0,0,0,1,1,0
b,page_view,2025042119,1,1,1,0,0,0,0,1,1,0
b,page_view,2025042201,0,0,0,0,0,0,0,0,0,0
b,page_view,2025042205,0,0,0,0,0,0,0,0,0,0
b,page_view,2025042221,1,1,1,0,0,0,0,0,1,1
b,scroll,2025041910,1,1,1,1,4.993199,0,1,0,0,1
b,scroll,2025041911,1,1,1,10,210.249679,0,1,0,0,1
b,scroll,2025041913,1,1,1,3,61.011107,0,1,0,0,1
b,scroll,2025041916,1,1,1,9,14.000587,0,1,0,0,1
b,scroll,2025041919,0,0,0,0,0,0,0,0,0,0
b,scroll,2025042002,1,1,1,47,80.147265,0,1,0,0,1
b,scroll,2025042019,0,0,0,0,0,0,0,0,0,0
b,scroll,2025042121,1,1,1,8,13.533025,0,1,0,0,1
b,scroll,2025042200,1,1,1,4,9.527181,0,1,0,0,1
b,scroll,2025042205,0,0,0,0,0,0,0,0,0,0
b,session_start,2025041913,1,1,1,0,0,0,0,0,0,1
b,session_start,2025041920,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042015,1,1,1,0,0,0,0,1,0,0
b,session_start,2025042016,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042018,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042019,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042023,1,1,1,0,0,0,0,0,0,1
b,session_start,2025042110,1,1,0,0,0,0,0,1,0,0
b,session_start,2025042119,1,1,1,0,0,0,0,1,0,0
b,session_start,2025042201,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042205,0,0,0,0,0,0,0,0,0,0
b,session_start,2025042221,1,1,1,0,0,0,0,0,0,1
b,session_start,2025042223,0,0,0,0,0,0,0,0,0,0
b,submit_feedback,2025041914,1,1,1,15,990.369555,3,0,0,0,1
b,user_engagement,2025041913,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025041917,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025041920,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025041921,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025042014,1,1,1,0,0,0,0,1,0,0
b,user_engagement,2025042016,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025042018,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025042019,0,0,0,0,0,0,0,0,0,0
b,user_engagement,2025042023,1,1,1,1,260.698376,0,0,0,0,1
b,user_engagement,2025042221,1,1,1,19,22.262363,0,0,0,0,1
